,0
0,1917429896
1,2080495627
2,690055083
3,1454340295
4,1434805831
5,66766436
6,1639352274
7,1130932128
8,111392452
9,522480263
10,833761265
11,1041585970
12,376122750
13,949877178
14,594650136
15,846857129
16,231427967
17,497821907
18,1432769264
19,723718767
20,1544012629
21,1771015858
22,122150413
23,1661465212
24,1060743949
25,604934359
26,1742408480
27,2060082393
28,346718662
29,1465920811
30,1899103427
31,1799557093
32,894045926
33,2007300347
34,1932855888
35,1162126495
36,1021500904
37,1295086313
38,1643419912
39,900086523
40,2079016347
41,1633011132
42,832181601
43,1953303148
44,374235785
45,1440217795
46,1927888832
47,770527689
48,909693975
49,943885940
50,180462998
51,188929509
52,1555454191
53,817341630
54,959777405
55,2077317568
56,580647058
57,271595553
58,494937491
59,334068673
60,826322590
61,715217162
62,1049380617
63,1256777683
64,1116170875
65,979693557
66,1502486230
67,13401374
68,776590337
69,661181057
70,2036494707
71,41767983
72,859798993
73,1983828220
74,502290275
75,185595943
76,1541954223
77,1566898833
78,1834019700
79,547045569
80,1972487401
81,1710302147
82,2020524559
83,1979024343
84,944867646
85,294652579
86,2085014821
87,1788560537
88,1175251730
89,769908410
90,1779495218
91,734604336
92,351380553
93,285295378
94,652061489
95,1849147195
96,996910446
97,964947461
98,1543780260
99,956084810
100,1531974773
101,2123650427
102,2042287337
103,498963364
104,572190018
105,508749344
106,661242810
107,1551788215
108,1885797170
109,1885876785
110,1804617323
111,2145920530
112,208292258
113,1031459218
114,1107695292
115,427637308
116,1628081898
117,1882248361
118,1001167345
119,176913986
120,1293076915
121,505069859
122,1942039266
123,97944530
124,752332339
125,384622634
126,284780020
127,1530355921
128,1801946766
129,373270849
130,1399291655
131,1051189097
132,1589116525
133,88367476
134,1874112551
135,301316393
136,2028098407
137,367856783
138,47164820
139,1373145837
140,1710768137
141,1586423785
142,666282861
143,511635273
144,751126623
145,41211132
146,241085350
147,728423991
148,2014448264
149,807090236
150,1240110966
151,2139382730
152,770647494
153,1427485496
154,1357514775
155,660475942
156,2067726194
157,861949012
158,1637261360
159,856744707
160,922727404
161,595265288
162,35381586
163,1430699758
164,1575654045
165,109907358
166,1357086301
167,1351489908
168,1128173061
169,620835322
170,1451442393
171,732655665
172,1743904455
173,1053528549
174,1300099228
175,1074723967
176,176978148
177,1628890600
178,744701530
179,1415637823
180,442985910
181,568667429
182,1242688361
183,1023075505
184,1658959162
185,233915538
186,1051644754
187,1996133243
188,208033265
189,1271922693
190,746600537
191,1816238574
192,249867744
193,1516907739
194,5745276
195,639748234
196,10879629
197,1561221888
198,628994835
199,1166424832
200,673443017
201,1121716214
202,1643270445
203,1194579313
204,2007405815
205,311760024
206,349144237
207,1410663657
208,224305272
209,1416956655
210,20960448
211,1705320559
212,747211971
213,439900668
214,1455635092
215,1569530679
216,1462777599
217,1514152549
218,1595190761
219,37546694
220,974994581
221,422939153
222,779410396
223,2022119030
224,1475386834
225,1927222930
226,884193999
227,518739850
228,393069492
229,1827014991
230,1665239068
231,803579439
232,784661810
233,2065862256
234,139627746
235,830356061
236,1283935873
237,1916389724
238,2068780506
239,1281361077
240,1765971650
241,544607790
242,1353534583
243,91234274
244,1033169827
245,239149336
246,449784390
247,827401432
248,156765603
249,283641496
250,1196321414
251,1607113669
252,1766170179
253,775033013
254,493132448
255,318086971
256,1834267614
257,1438799915
258,1564887504
259,634139860
260,1446812680
261,8048242
262,91402969
263,1084361927
264,2021850283
265,60919091
266,427111188
267,89465049
268,1163234603
269,1023459986
270,1860399260
271,258264002
272,305248084
273,1597902335
274,742626509
275,529688009
276,1585787501
277,937516661
278,49861703
279,2100200706
280,64009233
281,2057539849
282,145724490
283,708824911
284,1241170683
285,1188147197
286,743775219
287,1279445297
288,1772566129
289,1455100128
290,800971403
291,1483130706
292,2058211441
293,852059318
294,912305578
295,1827796024
296,545478794
297,1266301125
298,1226375179
299,950536062
300,1057748769
301,1070433212
302,1488170276
303,53603190
304,1977402414
305,64897591
306,973860693
307,522684287
308,1476013915
309,1909683840
310,341788815
311,1432692383
312,729666857
313,450651420
314,1069101837
315,505171304
316,938782623
317,376105783
318,1148884965
319,724536907
320,758310304
321,1522691917
322,1267472835
323,1669012869
324,1416959515
325,288063067
326,1146846405
327,836562685
328,969803965
329,110438405
330,1775069276
331,816517188
332,595748288
333,156465632
334,1732252700
335,1397793279
336,509857682
337,1556919262
338,854855784
339,1415917037
340,577880323
341,364787191
342,1452926782
343,1799997083
344,148703031
345,193515716
346,1135078952
347,148604545
348,1814300865
349,1424896903
350,1683498526
351,55389763
352,1774406244
353,1208490563
354,407268251
355,1224730890
356,1830089371
357,695010089
358,1633300111
359,556532140
360,1998023279
361,2068134874
362,1474977352
363,751863793
364,122490279
365,427278097
366,1374926840
367,58937055
368,1430064631
369,788748944
370,1145538346
371,221914901
372,1710599
373,343087322
374,1019677714
375,1121632416
376,592997260
377,305742089
378,940714181
379,1432987208
380,273453792
381,984880878
382,144674410
383,1082898499
384,476462502
385,661789282
386,842445965
387,1778872922
388,844848325
389,1376483652
390,137786096
391,117191262
392,1527704024
393,1673136487
394,943830598
395,776570688
396,2063117322
397,807395075
398,2006470894
399,569253770
400,671060944
401,1311681994
402,1099706428
403,1070292642
404,769421899
405,558191364
406,1494903287
407,1743537647
408,1181694855
409,878795337
410,1649362981
411,25758103
412,2044699158
413,864986363
414,1522326576
415,221711839
416,2089131803
417,476888356
418,769056342
419,1046651953
420,438843857
421,1844209944
422,733279028
423,436171612
424,1623116138
425,776990140
426,204028867
427,292829781
428,1551238730
429,767448131
430,1147571837
431,2031264935
432,693607309
433,90137300
434,2076173932
435,299375870
436,1725975631
437,1548881718
438,989867989
439,1534891891
440,51091134
441,1640825513
442,264300381
443,1129846319
444,1078356460
445,824780124
446,612231457
447,1423197170
448,1668254318
449,787352557
450,874030518
451,1266730763
452,635589480
453,2034299438
454,2079268646
455,810501849
456,936666384
457,1524943884
458,1925710586
459,1657217618
460,1117066636
461,101836435
462,405555613
463,2106816869
464,1202421758
465,766980271
466,2141203754
467,219852611
468,1912975087
469,1421048865
470,1136242010
471,1368510303
472,912874723
473,328005859
474,2126910462
475,553003443
476,1112828232
477,1864944993
478,1080839022
479,520976313
480,1482448868
481,1030623200
482,1799125369
483,625039506
484,806959921
485,732663789
486,742057312
487,2001111349
488,1608143690
489,337377173
490,1160943586
491,667362469
492,2045386987
493,616740177
494,1498296942
495,558089513
496,1317954145
497,958920074
498,386311920
499,32704817
500,1416426618
501,1253775088
502,72076767
503,794223173
504,45310638
505,1581328136
506,821904395
507,2091975974
508,758939132
509,1443172018
510,978071671
511,1457103581
512,1190880801
513,1341815650
514,351532059
515,1913982386
516,375039337
517,50065674
518,93883627
519,823706201
520,1524883859
521,265097279
522,1532465111
523,1594605515
524,325350257
525,1709508360
526,1813619138
527,544229086
528,8968814
529,1642663398
530,2012099418
531,1117585977
532,1231742332
533,1237937747
534,432907644
535,2048487356
536,1683713517
537,1600424941
538,62577931
539,569351555
540,1855480883
541,829784030
542,879236260
543,1520023991
544,334593426
545,634948605
546,895528340
547,617374189
548,159462349
549,1401809896
550,887123612
551,571990187
552,1756605844
553,1654531851
554,1527683778
555,1962993593
556,1635974652
557,1308038396
558,71210868
559,1178576828
560,1904822583
561,536983379
562,323069753
563,1611852028
564,1266804093
565,1036762098
566,566714839
567,1531509049
568,122507777
569,2134488088
570,1851363256
571,964303239
572,675219625
573,1680963325
574,1881751511
575,1364332233
576,633196252
577,1685846445
578,1363314489
579,409365552
580,942410920
581,523907266
582,748060148
583,1453471998
584,1671613230
585,477566251
586,1557360890
587,1052931875
588,1809825503
589,1998215990
590,665109031
591,181531461
592,738137958
593,1139741835
594,2016093432
595,1505845771
596,1119095258
597,947816590
598,1141354636
599,40646617
600,69220194
601,336078573
602,1846994616
603,730532696
604,477831238
605,1047510032
606,2078360463
607,186764750
608,1706483052
609,240192515
610,1927225479
611,636516268
612,1612125579
613,663919320
614,599671091
615,1908945541
616,1247812924
617,588982974
618,1513169235
619,1711406824
620,2007763247
621,201594964
622,277872186
623,467023594
624,1120392550
625,689987651
626,806458020
627,629953674
628,816145892
629,1614039080
630,1144196119
631,503297667
632,276951100
633,1266954414
634,413024100
635,1245750221
636,946663993
637,1376853143
638,1438010672
639,124307206
640,1771065643
641,30882968
642,2116620517
643,682828589
644,339399812
645,1784630102
646,590251678
647,1117327788
648,1396899378
649,1845191398
650,215975189
651,1803112699
652,204873495
653,211999146
654,1156462354
655,256699017
656,485779268
657,1851361673
658,1816710935
659,1141187618
660,2098384158
661,128031661
662,858941575
663,682205431
664,1470510893
665,613122221
666,1266471447
667,371495387
668,928378828
669,1534621678
670,557046748
671,346940628
672,29633598
673,1983915955
674,1285311238
675,613456447
676,2101969
677,1461369430
678,1627577013
679,2084710114
680,33666092
681,2090308299
682,534587863
683,418177228
684,759915509
685,374261907
686,398327890
687,1419506958
688,1726376002
689,283784202
690,1455989668
691,1871090251
692,333035421
693,155947065
694,289241858
695,892815096
696,1685132726
697,1397443598
698,547359205
699,1651232972
700,849227047
701,1704852656
702,755046069
703,86208081
704,900425470
705,203390805
706,1616472868
707,290843658
708,470124992
709,2014600829
710,2123593454
711,236169116
712,1492516959
713,235778431
714,425634638
715,61715451
716,2122659417
717,307356466
718,689927408
719,1665296206
720,465241912
721,1253366820
722,1220056981
723,489203412
724,1797473297
725,787451144
726,301065119
727,1305109137
728,656643919
729,206050063
730,778730340
731,745810197
732,1249560117
733,1491662915
734,1142529384
735,476928663
736,1101732789
737,219572223
738,1248209826
739,614462745
740,680101701
741,1336243006
742,105904718
743,1366906556
744,1731294813
745,1743436510
746,465650393
747,1157886465
748,1479860747
749,845418700
750,299024873
751,665759188
752,1711422496
753,311633176
754,512370557
755,892255837
756,2024076704
757,759036355
758,362660865
759,175481160
760,1459596507
761,1342080951
762,80874076
763,910462554
764,1821864914
765,1253903039
766,948889081
767,126042904
768,366610539
769,711007122
770,1029662074
771,1142876538
772,803856025
773,1816832527
774,1072856970
775,1119326554
776,262872976
777,1942206725
778,1140641647
779,228807081
780,807274355
781,1634696451
782,1460774078
783,1047507973
784,1958011697
785,1826509100
786,1730768361
787,1588764942
788,2075159634
789,721202273
790,2081953555
791,1256467988
792,175921128
793,1075074712
794,1269362756
795,1884233768
796,276125496
797,168579211
798,91471813
799,1470350898
800,1584454958
801,1673100496
802,999300491
803,805649943
804,1269534956
805,1755978408
806,324532158
807,150789257
808,1754642272
809,1946999349
810,1185183066
811,2142376280
812,287445610
813,1911371823
814,1796491880
815,1848155525
816,269222071
817,784796092
818,1479086312
819,1269364030
820,1277302242
821,224905558
822,1883998195
823,1833295482
824,769853242
825,1329691448
826,1002092072
827,734474655
828,1480419822
829,965218202
830,1757192645
831,858123062
832,914232247
833,2052309367
834,365096441
835,1064233856
836,1753441691
837,1465214917
838,1949468813
839,692147035
840,164135768
841,1974153835
842,1999986361
843,189452969
844,1409978062
845,628181716
846,378965173
847,1679287520
848,177465257
849,477227665
850,824426563
851,2122275989
852,750995966
853,1691345079
854,374565415
855,377362555
856,2095548572
857,45960858
858,511711246
859,1647640547
860,2077809950
861,350975771
862,1992000979
863,1449139609
864,110849103
865,1546535970
866,1183646135
867,140293575
868,1400504600
869,4580228
870,1029349232
871,140007835
872,959126794
873,228708036
874,1931478304
875,1199274996
876,772666981
877,514875475
878,1173781925
879,1196032890
880,580757001
881,2108066243
882,240284636
883,1090050348
884,313186135
885,1467740987
886,277517669
887,2020940069
888,320001378
889,1100577297
890,1307447443
891,1868892916
892,268724288
893,1044081215
894,421221068
895,436456719
896,15680803
897,1467914562
898,1471872509
899,347759715
900,135462892
901,814836243
902,141494235
903,346828350
904,1045817658
905,1305486524
906,968220408
907,1051003105
908,1175280729
909,515778066
910,39642703
911,245025039
912,559619585
913,452927856
914,1884541687
915,555514693
916,2042573656
917,589821519
918,524540981
919,841539834
920,831498111
921,218031875
922,1283853289
923,960823073
924,517043107
925,1023309494
926,1926189429
927,122753346
928,1951791021
929,1816750763
930,1060267540
931,1825238449
932,1253127758
933,1074816430
934,294169125
935,2131898226
936,1595379543
937,1192765701
938,755856726
939,404101892
940,340279450
941,594837532
942,795544942
943,1089366863
944,1828633837
945,1332276389
946,217630513
947,1447034506
948,223957187
949,341929078
950,67693457
951,300460962
952,1028475106
953,391243047
954,1097884551
955,40668194
956,368735086
957,1173675696
958,1733103986
959,76316543
960,1575714960
961,546261890
962,1962036430
963,2022100959
964,2039504267
965,1625916827
966,82137251
967,1875421344
968,631968400
969,517942321
970,377895006
971,1257961719
972,770832709
973,2038103869
974,854322114
975,1035486882
976,1724812707
977,782507168
978,1933490728
979,587455092
