content_id,part,tag_lecture,qstats_count,qstats_answered_correctly,difficulty
10616,1,93.0,14479,0.3321,3
10507,1,94.0,6277,0.8025,2
7855,1,9.0,7241,0.8187,2
12692,1,61.0,171,0.8246,2
12876,1,9.0,158,0.8544,1
161,1,40.0,12178,0.9144,1
12804,1,130.0,169,0.9645,1
12627,1,104.0,171,0.883,1
66,1,104.0,6433,0.9375,1
7883,1,178.0,11122,0.9301,1
12672,1,164.0,177,0.4972,3
55,1,36.0,40452,0.6018,3
10605,1,68.0,6987,0.8845,1
12721,1,111.0,155,0.8323,1
12690,1,9.0,195,0.5436,3
7927,1,178.0,36314,0.7277,2
188,1,5.0,10124,0.8629,1
77,1,164.0,18388,0.6995,2
12711,1,61.0,188,0.516,3
10516,1,178.0,6230,0.8332,1
12687,1,164.0,168,0.8274,2
10557,1,5.0,5549,0.9798,1
12895,1,9.0,154,0.5909,3
10594,1,68.0,6438,0.9163,1
7948,1,187.0,8075,0.9617,1
12641,1,187.0,182,0.8956,1
53,1,149.0,10949,0.8418,1
10680,1,51.0,6135,0.8844,1
12643,1,9.0,155,0.8452,1
10391,1,164.0,7684,0.6992,2
432,2,114.0,4862,0.7873,2
12168,2,148.0,1531,0.6408,3
12089,2,176.0,1506,0.7656,2
12264,2,155.0,1528,0.7827,2
406,2,155.0,484,0.5207,3
849,2,140.0,10103,0.8172,2
1094,2,176.0,8821,0.8125,2
12263,2,138.0,1465,0.5706,3
439,2,90.0,17896,0.688,2
12093,2,138.0,1446,0.8811,1
12159,2,30.0,1459,0.8307,1
12072,2,141.0,1508,0.9642,1
1130,2,90.0,6712,0.7561,2
1274,2,155.0,14427,0.7955,2
297,2,30.0,12094,0.8531,1
11894,2,114.0,1513,0.8956,1
541,2,90.0,28758,0.7617,2
1113,2,148.0,16442,0.5978,3
367,2,176.0,16246,0.7652,2
732,2,90.0,8407,0.6937,2
902,2,30.0,9153,0.8894,1
261,2,137.0,10432,0.7501,2
1010,2,138.0,23567,0.7385,2
11670,2,148.0,1433,0.5652,3
409,2,137.0,12544,0.7665,2
11926,2,148.0,1496,0.4124,3
668,2,141.0,23995,0.5824,3
663,2,138.0,11802,0.7523,2
1305,2,155.0,9223,0.7240000000000001,2
12219,2,155.0,1484,0.6496,3
2013,3,82.0,4464,0.8432,1
2474,3,136.0,5970,0.7652,2
1844,3,106.0,379,0.4169,3
12371,3,136.0,259,0.9344,1
11843,3,136.0,2375,0.2834,3
1955,3,74.0,90,0.8111,2
1785,3,74.0,15111,0.5268,3
2330,3,136.0,4704,0.9116,1
1401,3,136.0,108,0.9167,1
2548,3,74.0,8201,0.5886,3
2348,3,136.0,3878,0.8582,1
2292,3,113.0,92,0.8043,2
1970,3,106.0,5487,0.657,3
2119,3,157.0,13288,0.2828,3
2235,3,157.0,5790,0.8575,1
1510,3,82.0,5335,0.4568,3
1651,3,136.0,5086,0.3134,3
1788,3,74.0,9342,0.5770000000000001,3
2332,3,74.0,6534,0.875,1
1989,3,82.0,8225,0.8365,1
2208,3,157.0,12391,0.5853,3
1404,3,136.0,3520,0.7784,2
1710,3,136.0,9381,0.7189,2
2086,3,82.0,9986,0.9182,1
1908,3,136.0,69,0.5217,3
1737,3,136.0,16269,0.7819,2
2312,3,157.0,591,0.4755,3
2188,3,106.0,8903,0.7264,2
1588,3,82.0,6622,0.637,3
12355,3,161.0,254,0.7638,2
12584,4,67.0,209,0.8804,1
2728,4,183.0,205,0.5659,3
3347,4,169.0,224,0.6384,3
3263,4,150.0,16201,0.4429,3
10722,4,3.0,5708,0.7624,2
3085,4,83.0,7438,0.7329,2
2813,4,67.0,101,0.6931,2
2950,4,12.0,9955,0.4736,3
11798,4,144.0,671,0.7094,2
13153,4,103.0,107,0.7009,2
3466,4,12.0,4603,0.8427,1
13054,4,144.0,95,0.8842,1
3312,4,144.0,5318,0.8567,1
10710,4,3.0,5651,0.8928,1
3187,4,12.0,4196,0.613,3
13130,4,12.0,104,0.8654,1
2593,4,103.0,160857,0.565,3
2561,4,67.0,606,0.8053,2
2748,4,67.0,273,0.5641,3
3221,4,169.0,451,0.7384,2
2748,4,67.0,273,0.5641,3
2749,4,126.0,12679,0.5867,3
13175,4,169.0,89,0.9663,1
3256,4,67.0,3130,0.8687,1
3007,4,12.0,5327,0.7528,2
10117,4,12.0,5598,0.8421,1
3157,4,103.0,120,0.5167,3
2929,4,12.0,6931,0.9221,1
13116,4,12.0,105,0.9619,1
11600,4,103.0,604,0.8957,1
3668,5,55.0,3711,0.7929999999999999,2
3810,5,8.0,1993,0.5349,3
13438,5,8.0,884,0.8428,1
9811,5,73.0,4626,0.4857,3
5789,5,14.0,3626,0.535,3
9569,5,8.0,4227,0.7549,2
11355,5,8.0,1394,0.7418,2
8527,5,24.0,8061,0.3559,3
13500,5,64.0,903,0.8405,1
4745,5,73.0,4816,0.5984,3
4973,5,79.0,2997,0.7117,2
8456,5,72.0,204,0.799,2
4779,5,72.0,23622,0.4841,3
9677,5,96.0,4628,0.8619,1
5718,5,127.0,26316,0.7395,2
8549,5,54.0,5275,0.9077,1
11411,5,159.0,4689,0.6321,3
5232,5,91.0,4793,0.7027,2
9800,5,96.0,7457,0.2585,3
13277,5,14.0,913,0.7667,2
4395,5,89.0,344,0.6657,2
8268,5,8.0,1258,0.7154,2
9268,5,173.0,72,0.75,2
4367,5,66.0,10186,0.7363,2
5686,5,8.0,1675,0.6603,2
4722,5,91.0,4036,0.6591,3
9118,5,73.0,4283,0.7196,2
11265,5,8.0,1183,0.847,1
9720,5,55.0,3887,0.6259,3
4953,5,8.0,2062,0.7207,2
10266,6,45.0,4661,0.7938,2
6624,6,27.0,20933,0.6535,3
10055,6,73.0,5567,0.3821,3
10150,6,47.0,6571,0.3413,3
11127,6,73.0,3964,0.8025,2
10978,6,53.0,3056,0.7323,2
6508,6,109.0,4963,0.7020000000000001,2
6618,6,173.0,12702,0.9241,1
10812,6,95.0,3423,0.8665,1
6623,6,73.0,20927,0.7020000000000001,2
6902,6,27.0,17463,0.6932,2
6801,6,147.0,13686,0.7926,2
6830,6,159.0,15973,0.9125,1
10754,6,1.0,2549,0.8427,1
10287,6,1.0,5113,0.8899,1
6724,6,27.0,8696,0.7164,2
6582,6,53.0,15385,0.4993,3
6482,6,73.0,9427,0.5479,3
11108,6,168.0,4531,0.6089,3
10365,6,89.0,5666,0.21,3
10987,6,73.0,2450,0.9388,1
10771,6,14.0,2626,0.8134,2
6820,6,27.0,17167,0.6564,3
11013,6,53.0,1155,0.6528,3
11013,6,53.0,1155,0.6528,3
10032,6,48.0,8047,0.2094,3
10855,6,123.0,5396,0.6223,3
10329,6,27.0,5490,0.32899999999999996,3
10904,6,27.0,2487,0.7793,2
10227,6,27.0,4561,0.8906,1
7819,7,97.0,2873,0.7490000000000001,2
7627,7,153.0,853,0.8206,2
7035,7,153.0,1195,0.8703,1
7000,7,97.0,4340,0.7885,2
7284,7,118.0,1762,0.8173,2
7098,7,145.0,7611,0.7743,2
7585,7,39.0,2903,0.8322,1
7830,7,18.0,1888,0.7383,2
7178,7,76.0,4854,0.7056,2
7143,7,18.0,6211,0.5197,3
8059,7,118.0,3977,0.4551,3
11654,7,145.0,500,0.8740000000000001,1
7188,7,118.0,1943,0.5373,3
7436,7,97.0,978,0.589,3
7151,7,97.0,8770,0.6234,3
7457,7,145.0,3218,0.5255,3
7686,7,97.0,10927,0.5815,3
8065,7,76.0,4804,0.8231,2
8031,7,97.0,2645,0.7112,2
7552,7,97.0,922,0.8514,1
11868,7,118.0,3205,0.8094,2
7783,7,97.0,6455,0.7170000000000001,2
7555,7,18.0,1313,0.8408,1
7642,7,97.0,1926,0.8873,1
7451,7,19.0,3388,0.675,2
7420,7,145.0,3294,0.7908,2
7255,7,18.0,1709,0.6191,3
7644,7,76.0,860,0.9419,1
7607,7,97.0,1360,0.6654,2
7653,7,118.0,966,0.7785,2
10631,1,94.0,6247,0.8174,2
10573,1,68.0,8658,0.821,2
10471,1,101.0,6707,0.9099,1
10517,1,149.0,5887,0.9373,1
10465,1,9.0,5911,0.9125,1
10569,1,9.0,6043,0.8155,2
7977,1,9.0,10891,0.8356,1
129,1,9.0,9732,0.7687,2
12689,1,164.0,163,0.8098,2
7891,1,70.0,10676,0.8676,1
10545,1,187.0,8641,0.7662,2
12660,1,9.0,166,0.6867,2
12728,1,51.0,150,0.9733,1
10388,1,94.0,6501,0.807,2
12690,1,9.0,195,0.5436,3
178,1,93.0,5729,0.9475,1
12741,1,149.0,179,0.9777,1
10466,1,130.0,5812,0.9326,1
12775,1,51.0,157,0.6943,2
12745,1,111.0,185,0.9946,1
7880,1,149.0,12886,0.9059,1
12714,1,70.0,169,0.5385,3
7977,1,9.0,10891,0.8356,1
10588,1,9.0,6476,0.8184,2
116,1,70.0,2228,0.7917,2
12641,1,187.0,182,0.8956,1
7919,1,51.0,2519,0.7042,2
12828,1,51.0,180,0.9833,1
12696,1,70.0,166,0.4458,3
7860,1,104.0,21733,0.9548,1
12228,2,30.0,1550,0.8742,1
1061,2,20.0,12283,0.8722,1
457,2,105.0,15387,0.8386,1
324,2,138.0,21349,0.7345,2
12172,2,90.0,1522,0.8541,1
12081,2,137.0,1475,0.7688,2
613,2,20.0,9339,0.8935,1
11995,2,141.0,1525,0.9174,1
11977,2,141.0,1465,0.9454,1
1247,2,90.0,14649,0.6934,2
418,2,155.0,12489,0.6843,2
958,2,138.0,13181,0.8169,2
432,2,114.0,4862,0.7873,2
609,2,138.0,11891,0.7263,2
241,2,141.0,10179,0.7809,2
609,2,138.0,11891,0.7263,2
739,2,20.0,25489,0.6903,2
1327,2,90.0,8534,0.7376,2
503,2,71.0,10280,0.7548,2
1114,2,71.0,37075,0.5422,3
11912,2,140.0,1487,0.6839,2
12231,2,20.0,1590,0.4296,3
1236,2,176.0,15453,0.6711,2
685,2,138.0,14217,0.7791,2
535,2,138.0,11632,0.9358,1
661,2,176.0,15423,0.8458,1
840,2,138.0,7959,0.852,1
11778,2,114.0,1397,0.8833,1
12241,2,155.0,1569,0.8999,1
1016,2,2.0,18711,0.7246,2
1846,3,113.0,379,0.5726,3
1819,3,136.0,5174,0.7874,2
1500,3,82.0,4078,0.6923,2
11850,3,82.0,1373,0.8587,1
2285,3,113.0,14448,0.3639,3
2447,3,106.0,7390,0.8992,1
1996,3,113.0,318,0.6164,3
12308,3,82.0,275,0.7345,2
12399,3,74.0,261,0.8544,1
1758,3,136.0,14491,0.3103,3
1975,3,82.0,833,0.5162,3
1718,3,106.0,15061,0.2716,3
2385,3,161.0,9666,0.8448,1
12314,3,82.0,272,0.7316,2
1588,3,82.0,6622,0.637,3
13240,3,106.0,124,0.5968,3
1814,3,74.0,6462,0.5522,3
2275,3,74.0,8371,0.5033,3
1817,3,74.0,5173,0.6957,2
2286,3,157.0,14447,0.531,3
1581,3,113.0,9101,0.7502,2
1911,3,136.0,4053,0.8236,2
2387,3,161.0,13091,0.7906,2
1813,3,157.0,4868,0.7763,2
1541,3,82.0,6469,0.9239,1
1468,3,136.0,4444,0.8155,2
1664,3,106.0,7399,0.8225,2
2446,3,74.0,7387,0.8091,2
12416,3,136.0,274,0.3175,3
2031,3,82.0,3793,0.8268,2
2873,4,171.0,12145,0.8203,2
3421,4,12.0,5218,0.9191,1
12436,4,103.0,211,0.7725,2
3291,4,67.0,4522,0.8041,2
3301,4,12.0,3056,0.6728,2
2605,4,67.0,3420,0.9237,1
3463,4,103.0,4742,0.8693,1
2948,4,67.0,167588,0.2196,3
3205,4,12.0,4663,0.6995,2
3409,4,171.0,9275,0.7316,2
12461,4,12.0,228,0.9825,1
2928,4,12.0,6928,0.8411,1
3543,4,171.0,6103,0.8586,1
3223,4,169.0,6740,0.7884,2
2963,4,103.0,8052,0.5509,3
10130,4,144.0,5191,0.6234,3
2865,4,144.0,3973,0.9414,1
3498,4,67.0,4680,0.6526,3
3403,4,144.0,6985,0.5236,3
13178,4,12.0,109,0.9174,1
13167,4,12.0,84,0.9524,1
2880,4,144.0,5490,0.9288,1
11793,4,12.0,883,0.8596,1
3401,4,144.0,5505,0.8331,1
2866,4,144.0,3973,0.9675,1
2740,4,67.0,2783,0.8717,1
3466,4,12.0,4603,0.8427,1
10728,4,3.0,7352,0.6069,3
10134,4,12.0,5673,0.8563,1
2968,4,144.0,6096,0.3706,3
5100,5,8.0,2799,0.7392,2
6465,5,173.0,3932,0.7169,2
11430,5,14.0,2143,0.7611,2
4780,5,48.0,14278,0.6521,3
4505,5,73.0,4546,0.529,3
9932,5,1.0,4577,0.5552,3
4579,5,79.0,2403,0.8069,2
6672,5,109.0,3732,0.7441,2
9807,5,73.0,4454,0.5959,3
9506,5,1.0,4680,0.4344,3
4501,5,182.0,53090,0.6633,2
8917,5,1.0,4448,0.8642,1
9416,5,73.0,4533,0.3969,3
5232,5,91.0,4793,0.7027,2
4422,5,52.0,17302,0.544,3
9145,5,53.0,4471,0.6021,3
8830,5,73.0,4475,0.8096,2
9375,5,1.0,4666,0.4974,3
9905,5,96.0,4801,0.6432,3
5887,5,91.0,5570,0.6811,2
9513,5,73.0,4610,0.4672,3
9285,5,128.0,22741,0.7442,2
8300,5,73.0,4882,0.4697,3
9064,5,173.0,4619,0.9259999999999999,1
3561,5,8.0,1582,0.5973,3
4970,5,96.0,17338,0.2667,3
9888,5,1.0,4593,0.4385,3
5590,5,181.0,13310,0.5625,3
4472,5,132.0,27480,0.7307,2
4932,5,8.0,1585,0.7767,2
6733,6,173.0,13450,0.4419,3
10886,6,27.0,3449,0.8011,2
6514,6,109.0,4814,0.785,2
6846,6,55.0,14236,0.71,2
10067,6,159.0,6790,0.2261,3
11155,6,73.0,2615,0.8218,2
10752,6,53.0,2549,0.8749,1
6528,6,73.0,4815,0.3639,3
6793,6,73.0,10520,0.5068,3
10040,6,53.0,8526,0.5886,3
10034,6,47.0,6405,0.544,3
10034,6,47.0,6405,0.544,3
11107,6,53.0,4531,0.9554,1
6514,6,109.0,4814,0.785,2
6813,6,85.0,25974,0.8177,2
6603,6,27.0,13834,0.757,2
6806,6,53.0,17249,0.2372,3
10316,6,1.0,5067,0.3856,3
6524,6,1.0,6504,0.6919,2
10352,6,96.0,4833,0.7714,2
10343,6,73.0,6149,0.6066,3
10094,6,27.0,6132,0.7066,2
