content_id,part,tag_lecture,qstats_count,qstats_answered_correctly,difficulty
111,1,101,12231,0.8527,1
12656,1,93,153,0.9739,1
12684,1,61,168,0.9286,1
43,1,13,8622,0.9284,1
7982,1,9,6925,0.866,1
10605,1,68,6987,0.8845,1
10466,1,130,5812,0.9326,1
10553,1,99,6651,0.8645,1
84,1,36,8368,0.8384,1
70,1,51,6537,0.9674,1
178,1,93,5729,0.9475,1
10530,1,149,5575,0.9699,1
10450,1,149,5795,0.9462,1
10553,1,99,6651,0.8645,1
10471,1,101,6707,0.9099,1
174,1,164,13628,0.8486,1
12890,1,36,170,0.9,1
12661,1,104,169,0.8521,1
32,1,104,8820,0.8627,1
7959,1,111,3081,0.8734,1
41,1,93,4609,0.9703,1
109,1,111,5283,0.9748,1
10614,1,70,6250,0.9152,1
12926,1,68,155,0.8903,1
12766,1,99,178,0.9719,1
12647,1,5,138,0.8478,1
10605,1,68,6987,0.8845,1
7941,1,111,7906,0.9194,1
106,1,70,9385,0.8617,1
11857,1,93,1325,0.8566,1
12243,2,155,1511,0.9404,1
806,2,140,8087,0.8845,1
1167,2,90,7683,0.8592,1
470,2,155,9749,0.8617,1
1214,2,176,8494,0.9344,1
1349,2,176,12427,0.8441,1
12245,2,155,1550,0.8942,1
1292,2,20,167,0.8323,1
12164,2,148,1485,0.899,1
12228,2,30,1550,0.8742,1
442,2,20,7738,0.832,1
653,2,30,12076,0.8875,1
390,2,138,13329,0.847,1
436,2,90,7740,0.8317,1
12224,2,30,1520,0.9046,1
11890,2,17,1451,0.8677,1
513,2,176,6665,0.8749,1
594,2,30,9695,0.8543,1
12194,2,20,1456,0.8544,1
286,2,155,11974,0.8846,1
323,2,140,5945,0.9337,1
456,2,30,13786,0.8689,1
1178,2,90,10697,0.8842,1
840,2,138,7959,0.852,1
684,2,30,14990,0.8461,1
1284,2,138,843,0.8636,1
12020,2,176,1492,0.9283,1
12105,2,30,1527,0.9614,1
11972,2,2,1497,0.8671,1
711,2,30,17988,0.8793,1
1488,3,136,321,0.8941,1
13215,3,136,120,0.9333,1
12332,3,82,283,0.9399,1
12299,3,82,274,0.865,1
12352,3,136,311,0.8842,1
2233,3,106,5790,0.8762,1
2452,3,136,3245,0.9245,1
1762,3,157,8755,0.8347,1
13005,3,136,128,0.8828,1
1797,3,82,17456,0.8763,1
12371,3,136,259,0.9344,1
2544,3,136,5818,0.9567,1
1836,3,136,4116,0.861,1
2411,3,82,4233,0.9064,1
1669,3,82,5237,0.9351,1
13003,3,82,137,0.8686,1
12348,3,74,273,0.9634,1
13213,3,136,121,0.9587,1
1893,3,136,118,0.8814,1
1897,3,157,5368,0.8795,1
1596,3,113,8131,0.848,1
12411,3,136,297,0.8485,1
2012,3,74,4464,0.9478,1
1818,3,136,5174,0.8854,1
1497,3,136,231,0.8788,1
1665,3,136,7400,0.9215,1
2294,3,82,6824,0.8932,1
1946,3,106,91,0.8462,1
2127,3,136,4059,0.847,1
1952,3,106,5465,0.8604,1
2797,4,12,4188,0.92,1
12562,4,171,244,0.8484,1
2965,4,12,5280,0.9616,1
3288,4,169,19403,0.9562,1
3330,4,67,5672,0.8554,1
12495,4,67,224,0.9286,1
13178,4,12,109,0.9174,1
3185,4,67,4319,0.8326,1
2995,4,150,7993,0.9005,1
3253,4,12,3929,0.888,1
3064,4,67,5261,0.85,1
2776,4,67,5136,0.9653,1
3303,4,120,434,0.97,1
3446,4,67,4213,0.8649,1
2965,4,12,5280,0.9616,1
11606,4,171,2835,0.9464,1
2698,4,12,3540,0.859,1
13042,4,103,98,0.9286,1
13143,4,59,120,0.875,1
12497,4,67,224,0.8705,1
13137,4,67,106,0.8302,1
10706,4,3,5769,0.9178,1
3397,4,67,2530,0.8767,1
2776,4,67,5136,0.9653,1
3307,4,12,8500,0.9256,1
3384,4,67,2942,0.8865,1
12486,4,67,204,0.9461,1
2880,4,144,5490,0.9288,1
3194,4,144,7159,0.855,1
2664,4,144,4668,0.8629,1
5797,5,91,5228,0.8651,1
6201,5,8,1105,0.9041,1
11340,5,96,1549,0.8341,1
9851,5,73,4367,0.9217,1
5475,5,14,41,0.9512,1
9070,5,173,4609,0.9301,1
9403,5,53,4310,0.9592,1
3977,5,177,14428,0.8745,1
8867,5,96,4449,0.8377,1
4197,5,60,208,0.8413,1
4574,5,79,1798,0.8977,1
5761,5,8,1523,0.8785,1
3972,5,177,5152,0.908,1
8853,5,1,4546,0.872,1
5472,5,89,3631,0.8595,1
5775,5,14,286,0.9091,1
4547,5,166,4987,0.8757,1
5379,5,125,143,0.8811,1
4251,5,53,4456,0.8974,1
5275,5,177,7734,0.9094,1
11398,5,96,1375,0.8749,1
8798,5,55,4615,0.8979,1
3703,5,109,3126,0.8612,1
6478,5,54,9925,0.8594,1
13314,5,133,901,0.8424,1
5058,5,8,1307,0.8783,1
8968,5,73,4392,0.8511,1
9900,5,89,4757,0.8812,1
5593,5,7,12016,0.8498,1
4415,5,168,9228,0.8411,1
11095,6,173,1082,0.8835,1
10268,6,8,6694,0.8956,1
10890,6,27,2609,0.8934,1
10962,6,27,2397,0.8527,1
10161,6,172,6011,0.884,1
6840,6,53,9613,0.8387,1
10289,6,179,4935,0.9005,1
10813,6,116,3423,0.8609,1
11005,6,27,4358,0.9341,1
6642,6,55,11445,0.8855,1
10917,6,96,2209,0.8551,1
10363,6,27,5472,0.8651,1
10982,6,47,2503,0.8853,1
6723,6,179,8656,0.8842,1
6830,6,159,15973,0.9125,1
11034,6,179,6215,0.8644,1
6835,6,173,14691,0.8824,1
10784,6,109,2296,0.8711,1
6481,6,179,9427,0.8972,1
10336,6,179,4383,0.9443,1
10970,6,27,2659,0.8548,1
10367,6,27,5666,0.8452,1
11006,6,53,4358,0.9541,1
10262,6,147,4296,0.9076,1
10861,6,73,4655,0.8571,1
10092,6,27,5776,0.8769,1
10171,6,48,4837,0.9136,1
10957,6,45,2488,0.9043,1
6705,6,179,15540,0.8436,1
10371,6,96,5783,0.8672,1
7563,7,145,1967,0.8714,1
8150,7,118,3352,0.9418,1
7277,7,97,2396,0.8965,1
7100,7,97,5828,0.8353,1
7708,7,97,4191,0.8933,1
8131,7,118,47,0.9574,1
7666,7,18,5445,0.944,1
7001,7,76,3915,0.8567,1
7606,7,18,6134,0.9169,1
7133,7,97,604,0.9354,1
11871,7,165,3205,0.8615,1
7663,7,97,5431,0.83,1
8103,7,18,80,0.9,1
7071,7,145,2404,0.9384,1
7561,7,76,1967,0.8958,1
11637,7,76,479,0.8914,1
7843,7,76,1270,0.8756,1
7806,7,118,2461,0.8557,1
8067,7,97,4805,0.8574,1
7624,7,118,978,0.863,1
8122,7,97,2921,0.925,1
7617,7,18,2466,0.9339,1
7195,7,97,67,0.9254,1
8039,7,97,30,0.9,1
7550,7,118,12,0.8333,1
7453,7,145,2002,0.8571,1
7534,7,118,799,0.8811,1
7554,7,118,1313,0.8941,1
7715,7,18,3126,0.8343,1
7256,7,118,2289,0.9393,1
12830,1,111,140,0.9143,1
11857,1,93,1325,0.8566,1
7854,1,61,19019,0.8434,1
7877,1,187,10568,0.8884,1
10546,1,9,5928,0.8615,1
12814,1,149,162,0.8951,1
12740,1,104,164,0.9024,1
11664,1,93,1059,0.9075,1
10527,1,5,5965,0.9053,1
10482,1,93,5786,0.9004,1
12735,1,5,151,0.9934,1
10450,1,149,5795,0.9462,1
7889,1,36,7437,0.9176,1
10392,1,99,6038,0.9324,1
12761,1,149,170,0.8353,1
10549,1,9,5705,0.9521,1
10670,1,93,5747,0.9816,1
12758,1,51,152,0.8882,1
151,1,93,6636,0.9284,1
12762,1,40,148,0.9797,1
81,1,5,5089,0.8336,1
12841,1,51,153,0.9804,1
118,1,104,11214,0.9055,1
12747,1,187,166,0.9759,1
