content_id,part,tag_lecture,qstats_count,qstats_answered_correctly,difficulty
271,2,90,955,0.4639,3
8621,5,33,5876,0.824,2
8135,7,97,4884,0.8442,1
3780,5,109,3877,0.8602,1
8415,5,53,4551,0.4175,3
5260,5,45,8239,0.719,2
9216,5,134,5651,0.8108,2
9283,5,95,53629,0.5254,3
10928,6,109,2766,0.7538,2
2162,3,74,8435,0.5306,3
13028,3,74,120,0.975,1
12743,1,5,154,0.9545,1
3360,4,12,5313,0.8059,2
7990,5,173,5257,0.6363,3
2835,4,12,6341,0.8849,1
8234,5,8,1155,0.8009,2
2309,3,82,4744,0.6132,3
11280,5,109,8970,0.2535,3
10362,6,43,5472,0.909,1
10132,4,144,5191,0.9412,1
1228,2,90,12038,0.7245,2
7117,7,118,3899,0.7115,2
7744,7,97,16741,0.7605,2
10314,6,27,4880,0.56,3
1083,2,155,26281,0.45,3
547,2,20,146,0.8082,2
9697,5,55,3306,0.7665,2
6567,6,53,15034,0.5501,3
11176,6,45,2642,0.6953,2
2133,3,82,3809,0.9115,1
871,2,148,245,0.7184,2
12265,2,141,1448,0.9855,1
9575,5,8,4758,0.781,2
7758,7,18,2993,0.8266,2
8133,7,97,41,0.7073,2
8906,5,1,4704,0.4116,3
3078,4,12,4849,0.7651,2
9655,5,89,4614,0.7362,2
2026,3,157,8652,0.6751,2
8409,5,73,4429,0.7144,2
1337,2,2,12693,0.588,3
7324,7,97,1708,0.8402,1
608,2,138,14210,0.7942,2
6657,5,8,1394,0.7783,2
1845,3,136,385,0.8701,1
320,2,176,12368,0.9023,1
13219,3,136,116,0.8362,1
3031,4,12,65,0.6308,3
12010,2,90,1542,0.8301,1
1617,3,161,11853,0.811,2
2080,3,136,79,0.557,3
3851,5,152,8659,0.6709,2
722,2,141,9143,0.8611,1
11819,3,136,942,0.7208,2
582,2,137,32592,0.6025,3
11573,7,37,578,0.8616,1
4187,5,60,11270,0.3599,3
2649,4,103,5155,0.8512,1
3059,4,67,6235,0.5706,3
3915,5,96,5597,0.7897,2
6178,5,8,1404,0.7037,2
792,2,30,9945,0.9257,1
13190,3,74,133,0.8271,2
4913,5,8,1505,0.6179,3
11817,4,158,1439,0.7901,2
8655,5,53,4410,0.8748,1
11947,2,114,1507,0.568,3
